employee_id,role,department,day_index,project_phase,total_work_hours,meeting_hours,meeting_count,after_hours_work,task_assigned_count,task_completed_count,deadline_compression_ratio,task_switching_rate,email_volume,slack_message_count,response_latency_avg,longest_focus_block_minutes,recovery_gap_minutes,weekend_work_ratio,sleep_hours,sleep_consistency_score,hr_variability_index,error_rate,revision_count,decision_reversal_count,output_score,productivity_volatility_index,meeting_density_ratio,load_accumulation_rate,recovery_deficit_score,instability_index,volatility_acceleration,collapse_probability
EMP0001,DevOps,Engineering,31,Development,10.19,2.36,2,1.29,9,7,0.298,1.84,28,53,35.3,77.9,163.6,0.0,6.44,0.607,24.6,0.0485,0,1,40.0,0.238,0.196,0.435,0.138,0.233,0.1035,0.1116
EMP0001,DevOps,Engineering,32,Development,11.1,3.43,3,2.59,11,10,0.226,1.0,30,55,25.3,72.5,96.0,0.0,6.37,0.5,28.6,0.0501,0,0,48.2,0.223,0.27,0.711,0.173,0.236,0.1586,0.4046
EMP0001,DevOps,Engineering,33,Development,10.58,2.98,5,1.89,14,12,0.224,2.05,29,52,43.4,97.0,48.9,0.0,6.07,0.532,28.6,0.0352,2,1,46.22,0.25,0.473,0.559,0.095,0.255,0.1397,0.1479
EMP0001,DevOps,Engineering,34,Development,11.82,3.37,5,3.46,12,7,0.203,1.52,32,55,1.8,48.5,45.9,0.39,7.0,0.58,22.6,0.0272,0,0,42.13,0.22,0.423,0.91,0.264,0.264,0.2002,0.1907
EMP0001,DevOps,Engineering,35,Development,9.35,4.03,5,0.8,11,8,0.247,1.85,47,44,8.4,63.2,64.8,0.0,6.63,0.518,32.0,0.0144,0,0,40.0,0.234,0.535,0.269,0.207,0.253,0.0629,0.132
EMP0001,DevOps,Engineering,36,Development,11.36,4.21,3,2.68,11,6,0.203,0.56,38,47,1.6,87.0,81.9,0.0,6.34,0.584,20.0,0.0412,0,0,46.95,0.214,0.264,0.755,0.094,0.18,0.1616,0.1097
EMP0001,DevOps,Engineering,37,Development,11.25,4.44,3,2.74,10,8,0.231,0.56,43,61,29.2,91.4,73.0,0.0,7.31,0.597,26.1,0.0049,2,0,49.48,0.195,0.267,0.749,0.013,0.084,0.146,0.0782
EMP0001,DevOps,Engineering,38,Development,11.13,6.68,7,2.67,4,3,0.336,3.54,27,62,0.1,41.0,6.8,0.0,7.07,0.603,20.0,0.0179,2,0,43.99,0.259,0.629,0.725,0.301,0.358,0.1878,0.292
EMP0001,DevOps,Engineering,39,Development,9.94,1.12,1,1.16,9,7,0.04,1.03,21,62,23.7,59.9,394.1,0.0,5.73,0.484,33.3,0.0352,1,2,42.78,0.236,0.101,0.387,0.285,0.207,0.0914,0.3869
EMP0001,DevOps,Engineering,40,Development,10.51,4.35,4,1.62,3,2,0.537,1.09,40,62,10.5,64.6,26.0,0.0,6.2,0.481,27.5,0.0294,1,0,46.18,0.228,0.381,0.516,0.228,0.236,0.1177,0.1534
EMP0001,DevOps,Engineering,41,Development,10.73,5.04,4,2.04,4,3,0.571,2.41,48,69,8.4,74.7,31.9,0.283,7.4,0.646,20.7,0.0245,0,0,43.79,0.23,0.373,0.596,0.092,0.223,0.1371,0.1167
EMP0001,DevOps,Engineering,42,Development,10.78,6.04,5,2.2,10,6,0.5,0.97,26,61,3.7,47.6,32.4,0.0,7.25,0.626,23.6,0.0184,0,0,48.04,0.204,0.464,0.622,0.252,0.234,0.127,0.1405
EMP0001,DevOps,Engineering,43,Development,11.78,7.07,6,3.05,11,7,0.281,1.88,39,76,66.1,62.8,19.2,0.0,7.32,0.487,27.3,0.0318,2,1,57.81,0.221,0.509,0.854,0.163,0.271,0.1887,0.2261
EMP0001,DevOps,Engineering,44,Development,10.69,6.41,6,1.89,6,4,0.267,1.38,35,59,17.5,64.6,21.8,0.0,7.57,0.468,27.0,0.0115,0,0,47.0,0.206,0.561,0.572,0.141,0.219,0.1179,0.3306
EMP0001,DevOps,Engineering,45,Development,10.56,6.33,9,1.85,9,8,0.083,1.77,29,50,1.7,38.0,8.2,0.0,7.17,0.474,35.4,0.0055,0,0,48.68,0.222,0.852,0.551,0.311,0.328,0.1224,0.2663
EMP0001,DevOps,Engineering,46,Development,11.09,3.88,3,2.11,8,7,0.366,0.13,32,57,9.0,103.2,72.3,0.0,7.22,0.573,29.6,0.0259,0,0,46.88,0.188,0.271,0.65,0.019,0.115,0.1222,0.0395
EMP0001,DevOps,Engineering,47,Development,10.83,3.45,4,2.16,6,5,0.349,0.51,28,44,25.1,71.8,75.0,0.309,7.17,0.512,38.5,0.016,0,1,43.33,0.197,0.369,0.624,0.123,0.158,0.1229,0.1196
EMP0001,DevOps,Engineering,48,Development,9.9,5.94,9,0.93,6,4,0.324,1.27,36,52,0.1,80.6,17.5,0.451,6.79,0.579,30.5,0.0313,0,0,40.0,0.22,0.909,0.354,0.1,0.312,0.0778,0.1401
EMP0001,DevOps,Engineering,49,Development,10.15,5.38,4,1.73,13,10,0.385,3.24,26,52,0.4,56.6,32.2,0.0,7.73,0.521,35.2,0.0279,1,0,40.0,0.24,0.394,0.485,0.186,0.287,0.1164,0.1971
EMP0001,DevOps,Engineering,50,Development,10.98,2.01,2,3.71,4,2,0.135,2.19,31,51,2.6,67.7,177.5,0.0,6.74,0.563,32.0,0.0398,0,0,40.0,0.239,0.182,0.836,0.175,0.234,0.1999,0.1415
EMP0001,DevOps,Engineering,51,Development,10.44,3.61,4,4.22,9,8,0.382,3.7,38,62,34.4,60.7,76.3,0.0,7.2,0.549,26.6,0.0102,0,0,40.0,0.26,0.383,0.832,0.183,0.263,0.2164,0.2122
EMP0001,DevOps,Engineering,52,Development,9.22,5.53,9,0.51,8,6,0.337,0.76,29,73,91.8,85.3,21.6,0.0,6.57,0.587,30.2,0.0333,0,1,51.55,0.214,0.976,0.216,0.088,0.311,0.0463,0.2352
EMP0001,DevOps,Engineering,53,Development,10.79,1.7,3,2.02,7,5,0.335,1.54,29,50,42.5,44.5,124.7,0.0,7.36,0.518,24.1,0.0197,0,0,45.74,0.214,0.278,0.601,0.262,0.22,0.1287,0.1339
EMP0001,DevOps,Engineering,54,Development,11.43,4.73,4,2.58,10,8,0.186,0.82,31,64,25.1,70.0,53.0,0.344,7.38,0.629,26.1,0.0165,0,0,54.22,0.199,0.35,0.751,0.119,0.163,0.1495,0.2141
EMP0001,DevOps,Engineering,55,Development,9.68,5.81,6,1.14,7,5,0.161,3.2,28,54,3.3,64.7,12.9,0.0,7.65,0.512,38.6,0.0286,0,0,40.0,0.241,0.62,0.352,0.141,0.319,0.085,0.2098
EMP0001,DevOps,Engineering,56,Development,9.93,2.03,2,1.08,4,2,0.565,1.4,48,59,21.4,68.7,185.8,0.0,7.12,0.606,31.5,0.0274,0,0,45.93,0.216,0.201,0.376,0.144,0.18,0.0813,0.2827
EMP0001,DevOps,Engineering,57,Development,10.63,4.79,5,1.87,7,6,0.07,1.51,28,46,22.1,48.3,54.3,0.0,6.42,0.613,27.1,0.018,0,1,48.05,0.232,0.47,0.563,0.304,0.266,0.1305,0.3105
EMP0001,DevOps,Engineering,58,Development,10.85,0.51,1,2.37,8,7,0.827,1.29,40,74,47.3,76.0,469.6,0.0,6.31,0.649,20.0,0.0167,0,0,46.15,0.23,0.092,0.652,0.157,0.138,0.1501,0.1486
EMP0001,DevOps,Engineering,59,Development,10.95,6.36,5,2.31,1,0,0.082,0.6,40,43,0.5,62.2,5.0,0.0,7.96,0.478,23.0,0.0,0,0,40.69,0.183,0.457,0.658,0.154,0.156,0.1203,0.1528
EMP0001,DevOps,Engineering,60,Testing,12.5,4.44,6,3.62,5,3,0.173,4.42,41,57,47.9,48.0,32.0,0.0,5.82,0.629,23.5,0.0111,0,0,40.0,0.302,0.48,1.015,0.345,0.354,0.3065,0.1938
EMP0001,DevOps,Engineering,61,Testing,10.91,6.26,8,2.2,3,2,0.399,0.79,53,64,30.3,85.2,18.8,0.185,6.06,0.518,21.1,0.0463,1,0,40.0,0.225,0.733,0.639,0.123,0.3,0.1437,0.1474
EMP0001,DevOps,Engineering,62,Testing,12.3,3.3,3,3.49,17,12,0.274,1.59,29,66,0.4,74.1,101.7,0.0,6.97,0.618,20.0,0.0135,0,1,53.84,0.222,0.244,0.974,0.124,0.161,0.2162,0.156
EMP0001,DevOps,Engineering,63,Testing,12.47,3.24,4,3.66,10,8,0.299,0.61,40,55,18.6,75.9,76.4,0.0,6.39,0.528,20.0,0.0389,0,0,52.79,0.214,0.321,1.016,0.152,0.206,0.2175,0.1605
EMP0001,DevOps,Engineering,64,Testing,11.02,3.06,3,2.12,10,7,0.547,1.52,38,63,0.2,50.5,107.0,0.0,6.99,0.643,27.9,0.0385,0,0,50.01,0.221,0.272,0.642,0.253,0.253,0.142,0.2415
EMP0001,DevOps,Engineering,65,Testing,12.31,4.33,4,3.47,8,6,0.3,1.79,35,63,4.5,71.5,60.7,0.0,6.39,0.494,20.0,0.0238,0,0,40.0,0.238,0.325,0.973,0.177,0.219,0.2315,0.3558
EMP0001,DevOps,Engineering,66,Testing,11.49,6.9,8,3.19,12,10,0.527,2.19,42,59,5.5,53.6,5.0,0.0,6.89,0.553,21.5,0.0402,1,0,46.1,0.236,0.696,0.835,0.243,0.358,0.1971,0.1764
EMP0001,DevOps,Engineering,67,Testing,12.56,3.05,3,3.97,13,10,0.4,1.31,43,59,2.8,62.7,96.0,0.0,6.09,0.59,20.0,0.0427,1,0,48.14,0.234,0.239,1.066,0.246,0.246,0.2495,0.2114
EMP0001,DevOps,Engineering,68,Testing,11.28,2.24,3,2.31,11,8,0.433,1.86,33,64,7.2,44.0,112.2,0.0,6.39,0.629,22.8,0.0305,0,0,53.19,0.239,0.266,0.699,0.33,0.269,0.167,0.3389
EMP0001,DevOps,Engineering,69,Testing,11.97,7.18,7,4.08,8,6,0.364,1.33,37,53,7.3,35.7,16.0,0.0,7.38,0.468,20.0,0.0311,0,0,45.04,0.209,0.585,1.006,0.31,0.312,0.2103,0.5025
EMP0001,DevOps,Engineering,70,Testing,10.57,6.11,6,1.64,15,13,0.396,0.8,35,60,1.1,88.8,24.9,0.0,6.53,0.615,33.7,0.0359,0,1,40.0,0.215,0.568,0.526,0.071,0.231,0.1131,0.0974
EMP0001,DevOps,Engineering,71,Testing,10.25,4.81,7,1.29,5,4,0.483,2.36,33,69,12.1,50.9,31.0,0.0,6.9,0.468,33.5,0.0291,1,0,40.0,0.239,0.683,0.442,0.257,0.343,0.1058,0.2143
EMP0001,DevOps,Engineering,72,Testing,10.92,5.06,4,2.36,14,11,0.174,2.21,39,65,0.7,72.2,42.5,0.0,7.89,0.587,21.9,0.0136,0,0,40.0,0.216,0.366,0.66,0.099,0.196,0.1426,0.0828
EMP0001,DevOps,Engineering,73,Testing,11.05,3.63,7,2.75,15,9,0.149,1.95,30,55,82.3,77.6,37.1,0.0,7.29,0.461,25.0,0.025,1,0,46.38,0.223,0.633,0.725,0.083,0.26,0.1617,0.1955
EMP0001,DevOps,Engineering,74,Testing,12.3,1.94,2,3.47,9,6,0.2,1.1,24,68,6.8,90.5,184.6,0.0,6.62,0.514,20.0,0.0288,0,0,40.0,0.22,0.163,0.971,0.059,0.141,0.2137,0.0769
EMP0001,DevOps,Engineering,75,Testing,11.76,3.67,4,3.07,17,16,0.09,1.37,29,62,15.5,81.5,56.0,0.0,6.6,0.5,20.0,0.0313,0,0,41.41,0.225,0.34,0.854,0.107,0.204,0.1921,0.1356
EMP0001,DevOps,Engineering,76,Testing,12.33,6.34,6,4.33,8,7,0.158,2.37,33,60,0.7,62.0,25.5,0.0,6.17,0.501,20.0,0.0289,0,0,43.87,0.254,0.487,1.082,0.244,0.299,0.275,0.2011
EMP0001,DevOps,Engineering,77,Testing,12.84,0.7,1,4.06,8,7,0.087,1.86,29,67,22.2,77.1,444.9,0.0,6.09,0.479,20.0,0.053,2,0,42.94,0.245,0.078,1.112,0.166,0.227,0.2726,0.3517
EMP0001,DevOps,Engineering,78,Testing,11.68,4.45,4,3.27,10,8,0.216,0.92,48,57,1.0,54.2,54.1,0.0,6.14,0.473,22.2,0.0013,0,0,50.46,0.226,0.342,0.869,0.29,0.186,0.1963,0.2495
EMP0001,DevOps,Engineering,79,Testing,12.41,2.14,3,3.98,11,10,0.281,3.93,32,58,2.0,68.8,129.7,0.0,7.07,0.522,20.0,0.046,1,0,44.31,0.267,0.242,1.049,0.146,0.302,0.28,0.2265
EMP0001,DevOps,Engineering,80,Testing,11.62,4.38,4,3.3,6,5,0.068,1.23,38,62,26.4,64.5,65.8,0.0,7.72,0.615,20.0,0.0092,0,0,46.62,0.2,0.344,0.865,0.142,0.167,0.173,0.1034
EMP0001,DevOps,Engineering,81,Testing,11.13,6.68,7,2.71,9,6,0.288,1.76,33,58,25.2,62.0,5.0,0.0,6.09,0.505,30.2,0.0516,1,0,40.0,0.243,0.629,0.73,0.25,0.357,0.1774,0.2379
EMP0001,DevOps,Engineering,82,Testing,11.97,2.76,2,3.41,17,15,0.458,1.42,36,55,6.3,57.9,170.3,0.0,6.86,0.463,26.7,0.0127,1,0,45.23,0.221,0.167,0.923,0.221,0.168,0.2039,0.1502
EMP0001,DevOps,Engineering,83,Testing,11.4,4.19,4,2.68,7,4,0.468,1.96,28,58,0.6,62.5,57.5,0.0,5.87,0.46,28.6,0.0365,1,1,41.62,0.252,0.351,0.76,0.261,0.28,0.1915,0.3321
EMP0001,DevOps,Engineering,84,Testing,10.37,5.33,4,2.15,8,5,0.006,0.67,42,51,4.5,60.1,55.7,0.0,7.08,0.525,35.6,0.0119,0,0,49.42,0.202,0.386,0.565,0.194,0.179,0.1141,0.137
EMP0001,DevOps,Engineering,85,Testing,11.8,7.08,7,3.04,13,9,0.13,0.37,47,68,24.5,88.7,12.4,0.0,7.07,0.504,20.0,0.0318,1,0,41.5,0.196,0.593,0.855,0.036,0.204,0.1676,0.071
EMP0001,DevOps,Engineering,86,Testing,11.8,3.36,6,2.87,9,5,0.056,2.8,37,60,1.3,57.3,35.7,0.0,6.11,0.572,23.1,0.0342,1,0,43.62,0.264,0.508,0.834,0.274,0.336,0.2201,0.2938
EMP0001,DevOps,Engineering,87,Testing,12.66,1.54,2,3.79,9,5,0.438,2.32,40,49,19.8,80.8,195.1,0.0,5.92,0.457,20.0,0.0387,1,0,43.96,0.258,0.158,1.056,0.156,0.226,0.2725,0.3455
EMP0001,DevOps,Engineering,88,Testing,10.35,1.19,2,1.45,14,9,0.433,1.6,38,59,27.8,52.5,215.5,0.0,7.57,0.493,27.0,0.0398,0,0,46.91,0.211,0.193,0.475,0.208,0.229,0.1002,0.1321
EMP0001,DevOps,Engineering,89,Testing,11.83,3.23,4,3.31,12,8,0.073,2.81,34,59,41.3,59.6,74.9,0.17,6.47,0.569,20.0,0.0199,0,1,41.42,0.257,0.338,0.893,0.238,0.263,0.2294,0.1341
EMP0001,DevOps,Engineering,90,Launch,10.56,6.33,6,2.86,6,5,0.027,0.8,33,66,28.5,63.7,8.5,0.0,6.81,0.567,31.7,0.0244,1,0,45.64,0.21,0.568,0.678,0.192,0.244,0.1423,0.1828
EMP0001,DevOps,Engineering,91,Launch,11.81,6.22,8,4.2,20,17,0.247,1.51,53,73,2.1,90.7,14.7,0.0,7.76,0.541,20.0,0.0084,1,0,43.45,0.205,0.677,1.001,0.0,0.198,0.2053,0.1306
EMP0001,DevOps,Engineering,92,Launch,13.3,7.2,10,4.83,11,6,0.458,4.03,28,56,3.6,15.0,25.3,0.0,6.17,0.532,20.0,0.0506,0,0,40.0,0.287,0.752,1.266,0.505,0.524,0.3634,0.6835
EMP0001,DevOps,Engineering,93,Launch,14.0,1.63,3,5.11,11,6,0.23,1.79,31,66,0.1,92.7,101.0,0.0,5.77,0.586,20.0,0.0348,0,0,42.5,0.25,0.214,1.389,0.115,0.201,0.3472,0.2404
EMP0001,DevOps,Engineering,94,Launch,12.45,2.6,2,4.04,11,10,0.106,2.32,33,63,3.1,50.1,179.1,0.0,6.44,0.611,22.8,0.0141,1,0,43.02,0.248,0.161,1.061,0.292,0.218,0.2632,0.1861
EMP0001,DevOps,Engineering,95,Launch,12.1,3.95,6,4.48,9,7,0.016,0.47,38,67,18.9,50.2,44.8,0.0,6.66,0.607,20.0,0.0306,2,0,55.26,0.206,0.496,1.072,0.277,0.258,0.2209,0.1988
EMP0001,DevOps,Engineering,96,Launch,11.84,2.99,3,3.01,13,10,0.141,2.42,33,75,32.7,82.5,103.4,0.0,5.48,0.571,20.0,0.0457,0,0,40.0,0.269,0.253,0.856,0.176,0.268,0.2303,0.1658
EMP0001,DevOps,Engineering,97,Launch,12.93,2.02,3,4.29,7,5,0.34,2.46,32,64,15.7,48.0,129.7,0.0,6.75,0.649,20.0,0.0253,0,0,44.82,0.244,0.232,1.152,0.283,0.256,0.2812,0.2394
EMP0001,DevOps,Engineering,98,Launch,13.36,7.38,5,4.89,16,14,0.29,2.17,40,65,8.7,75.5,5.0,0.0,6.02,0.581,20.0,0.0299,0,1,48.39,0.253,0.374,1.281,0.179,0.254,0.3242,0.1685
EMP0001,DevOps,Engineering,99,Launch,13.16,2.44,4,4.32,8,7,0.412,2.22,42,65,11.6,61.9,86.8,0.0,6.29,0.611,20.0,0.0451,2,1,46.0,0.249,0.304,1.185,0.237,0.289,0.2951,0.3702
EMP0001,DevOps,Engineering,100,Launch,13.23,3.65,3,4.56,14,9,0.202,5.94,43,74,18.5,58.0,84.8,0.0,6.59,0.526,20.0,0.0291,1,1,40.0,0.317,0.227,1.224,0.238,0.353,0.3879,0.3759
EMP0001,DevOps,Engineering,101,Launch,11.66,3.13,3,4.43,9,6,0.214,1.57,34,69,7.6,74.8,108.1,0.0,7.47,0.493,20.0,0.0057,0,0,40.0,0.212,0.257,1.011,0.086,0.136,0.2144,0.0539
EMP0001,DevOps,Engineering,102,Launch,12.66,4.59,5,3.79,7,4,0.302,0.3,41,53,79.1,68.9,35.2,0.0,6.66,0.5,20.0,0.035,0,0,52.4,0.203,0.395,1.056,0.173,0.21,0.2144,0.1951
EMP0001,DevOps,Engineering,103,Launch,13.39,8.04,7,4.62,8,5,0.365,1.05,40,63,33.6,68.3,5.0,0.16,6.41,0.519,20.0,0.0333,0,0,41.95,0.223,0.523,1.251,0.193,0.261,0.279,0.24
EMP0001,DevOps,Engineering,104,Launch,11.96,5.06,5,3.63,7,5,0.166,0.95,39,71,2.3,60.1,30.2,0.478,6.96,0.562,20.0,0.0214,1,0,44.02,0.21,0.418,0.949,0.202,0.216,0.1992,0.114
EMP0001,DevOps,Engineering,105,Launch,13.66,3.88,6,6.17,4,2,0.293,1.34,37,57,5.8,85.1,36.6,0.0,6.96,0.591,20.0,0.0216,1,0,40.0,0.218,0.439,1.479,0.063,0.19,0.3224,0.1469
EMP0001,DevOps,Engineering,106,Launch,13.2,3.33,3,4.35,9,5,0.213,0.83,50,88,21.0,86.9,79.5,0.0,6.44,0.561,20.0,0.0293,0,1,51.84,0.218,0.227,1.194,0.088,0.155,0.2602,0.1216
EMP0001,DevOps,Engineering,107,Launch,12.43,3.73,3,4.64,10,9,0.578,1.57,44,61,27.4,88.3,92.5,0.0,7.21,0.638,20.0,0.025,0,0,47.16,0.217,0.241,1.134,0.029,0.154,0.246,0.2803
EMP0001,DevOps,Engineering,108,Launch,11.76,4.75,6,3.44,10,9,0.427,0.86,30,69,11.9,94.7,41.4,0.0,7.17,0.485,23.5,0.0275,1,0,43.75,0.204,0.51,0.9,0.022,0.189,0.1836,0.1585
EMP0001,DevOps,Engineering,109,Launch,13.16,7.89,7,5.17,7,4,0.077,2.41,23,66,17.8,63.6,8.6,0.0,6.76,0.595,20.0,0.0217,0,0,44.5,0.243,0.532,1.291,0.196,0.281,0.3138,0.4467
